ERBB2,APC,KDR,EGFR,CTLA4,CDH17
11.43404905,8.946488753,8.031547932,8.569559446,5.052250677,14.11363341
12.91041061,6.911727529,7.939009076,9.541876815,5.967334637,12.97066664
11.88264305,4.700439718,8.233619677,7.651051691,5.672425342,10.75321675
12.71825279,9.212771644,8.093471442,9.689225591,4.541446693,13.97921457
12.22827099,8.282651078,7.319493297,9.637247781,5.249331559,14.67632393
12.42517034,8.400258261,7.957987706,9.861982495,5.224387628,13.14785956
11.68221989,8.290389844,8.169488119,9.224762387,5.039103291,13.60878738
11.79596845,8.537661044,8.375649406,12.96629673,5.082987797,12.88358284
12.49685016,8.544124451,11.21651743,6.531155291,6.653027046,11.07649129
11.20873379,7.58254095,7.152212833,8.992866412,5.948005052,13.73803201
11.64004601,7.945020623,8.272663374,8.216632378,5.331576245,13.54808387
11.21546863,8.487657174,7.949605549,7.93851046,6.262237698,12.82735174
17.4300975,8.539033539,8.413418067,9.107985959,6.033777575,13.08527764
13.03542471,8.51250345,6.881794299,8.722343745,7.023596909,14.63581786
12.14208328,8.66665861,7.75419404,8.775016292,3.96827511,14.02487022
12.64307954,6.918863237,7.773322541,8.623190513,5.192020526,12.89239524
11.82719422,8.824177851,7.346989678,9.623294419,2.656496371,13.19766197
12.24423154,8.52102521,8.497355688,8.952692623,5.170437869,14.40600179
12.47375929,8.801871613,8.063739669,8.128560458,5.412866188,12.32356356
12.65079693,8.769905267,7.971543554,8.891728728,5.633503866,12.91869209
12.0628016,7.587089658,7.3072919,7.766243985,4.585106763,13.57725764
11.3385647,8.405726508,8.225092692,8.442741173,4.601791584,13.5427142
10.96333113,8.747434061,7.580021837,8.498454331,4.250393173,14.08716555
12.44236923,9.063538535,8.287536014,8.762622219,4.910243367,13.64207681
12.69593539,8.702736144,8.141654516,8.600603906,4.698051747,13.78946718
11.42284973,7.469328419,7.584178574,7.250281361,5.751233394,12.83495158
11.98984331,5.272418905,6.465148432,7.684283658,3.092562655,13.0323051
12.3960725,8.635548723,7.553154653,8.174486817,6.111279672,13.7582175
11.57965559,8.399691071,7.727427676,6.783474989,5.797996063,13.99434749
11.56553258,8.765569554,8.524443377,7.922595106,7.333487244,13.04098033
11.97279929,6.761744022,7.908731262,8.332651102,5.203130665,12.71723687
12.27924052,8.05104685,8.733932523,8.667062564,4.204078098,13.09000464
12.62506193,8.58197521,7.747554567,7.754825385,4.869432215,14.37364909
12.00123302,8.17691164,8.055509669,8.803480209,6.307290078,13.5005591
12.16396768,7.709931599,8.185865554,8.814058803,5.059619182,13.67706447
13.08555228,6.362904666,7.15451739,7.719500399,4.109444143,13.32085602
11.42552141,8.547858121,8.582601538,8.971430605,4.084387474,13.28118211
12.54510828,8.72561711,8.169833327,9.480761932,2.575360742,13.62411773
12.33269001,7.885825692,7.578594598,8.324171994,3.859323569,13.79730904
11.8582069,8.697849908,8.463087412,8.709064508,7.119818878,12.56563697
12.34868213,8.244379059,7.901422048,8.804147481,6.187676705,13.91357877
12.03128036,7.823488256,7.501027457,9.2295562,4.48226102,13.0493912
12.4436729,8.463886841,7.775233633,8.726239961,4.172847504,14.37595424
12.27215803,6.884838432,6.908882543,8.543439044,4.160420062,12.98464455
12.43923109,8.224996742,8.009697076,8.905683938,5.160008538,13.55597919
12.71225946,8.933897456,7.771205524,8.518560317,5.514106476,12.94975395
11.89690286,8.326034827,8.515142362,8.718979743,5.949763692,14.02755091
11.93115253,9.090985449,7.914123181,8.7961902,4.742717679,12.69274355
10.7849761,9.161740333,8.310789529,8.218155374,4.770141885,13.25945468
12.62725854,7.523147906,8.696909817,9.397018908,3.517792199,14.87147569
11.98431015,7.171338951,7.910268556,9.668712347,6.220302865,12.11258136
12.5808243,6.288550515,6.867347938,8.827743459,5.79863121,11.3240123
11.50875778,8.938191974,8.941157676,8.89296198,5.405406997,13.15263712
11.51035261,9.639172822,8.110870065,10.04633581,5.319119321,13.05950131
11.61515367,7.550004087,8.193114793,8.114701213,4.519151866,13.46701556
11.98542493,7.724693241,8.733493654,7.622874726,6.64792318,13.47347818
11.66076714,8.439092002,7.204539845,8.715054917,6.294523341,12.66879984
12.61895866,7.542494094,7.462207773,9.002893195,6.057328959,12.70705453
12.80727999,6.932471077,6.787509518,9.119881632,6.70917344,5.661815144
11.29348849,8.486987024,7.055870241,8.948966964,4.976088636,14.67539395
11.89442752,8.618863752,8.29660791,9.579141861,5.516522649,13.2821692
13.23648724,8.401406905,8.065494225,8.471593121,3.613236955,12.91091732
12.46024275,7.312037052,7.947902808,8.601696888,3.131902221,14.24388329
12.98094339,6.468850458,5.383123642,8.783968304,3.724650272,13.12505666
11.80166799,8.929926185,7.77113486,8.974117129,4.123906184,14.06306169
11.81363046,8.376872054,8.420983812,9.045571839,5.514904955,14.28206557
12.584097,8.726791036,7.260234591,8.722966646,7.808259543,13.16435024
12.37083488,8.963153875,7.839364429,8.94077636,7.369215194,12.38739483
15.19737679,8.8729937,8.653345618,8.844074261,5.63776093,13.8218674
11.42846445,9.516052191,8.399904648,8.153079247,5.845623024,12.91177862
11.66373514,8.210695693,8.156022383,8.482859574,5.494028322,13.73474198
12.07936371,7.583194116,8.032043522,8.429686675,6.547827667,13.68056943
12.45022578,8.293064648,8.53671502,9.359189501,4.254586485,13.82912528
11.46413014,8.575407262,7.025718739,8.480907712,3.604403485,13.30638961
12.38880485,8.262891632,6.699555797,9.427138285,3.827514198,13.95356638
12.384161,8.449659999,7.904075196,8.962804931,4.457456398,13.94000119
10.6055948,7.60613349,8.996127991,7.015355949,7.085214305,12.03219033
11.46117302,8.631164684,8.703137046,8.158490532,6.551955834,12.89231594
12.06371116,8.051946825,8.56573425,8.529579306,5.004690144,13.71670131
12.12607303,8.741369567,8.076393413,9.397434413,5.725113999,14.24761426
12.30503739,9.186567905,9.225863672,8.653013427,4.819039677,13.48356015
12.13900077,8.70917275,8.539678398,9.385506751,5.328236892,13.26989936
12.1877192,8.395804013,8.169568291,9.554892515,5.867545629,13.42157929
12.02548362,8.474539877,8.215602888,8.430348841,5.893391336,12.93787612
9.221230391,9.1688526,8.536362627,7.100081991,6.428306568,12.88900011
13.21410933,6.002405491,6.91577304,8.74644378,3.420711447,13.10201868
11.62782404,8.423847895,8.174320522,9.125609261,7.890954903,12.3917074
12.38123981,9.17677504,8.785491375,8.365613808,5.549253304,14.24355127
11.92962828,8.069727941,7.561316971,8.308706711,5.658065777,13.96359582
12.41927671,4.246218046,5.998224844,8.246807092,2.457961944,13.61661209
12.2015787,8.049779952,8.129075872,8.449452838,5.156760642,13.59251051
11.52677186,8.545220889,7.275959649,8.748875452,5.220453786,13.02673917
12.97178737,5.779498749,6.546121215,8.250506397,5.125084855,12.40287451
12.88654035,8.191066126,8.185589077,8.757868995,5.142821844,14.07237663
12.3911577,7.709440219,8.257760255,9.448300736,5.311463153,13.24334736
11.55890486,7.666131667,7.181320251,9.821456714,7.300819273,10.54053647
12.3404194,8.782012058,8.541289865,9.390364169,4.962636933,14.52491651
11.83481134,8.832977649,7.760710634,8.323004755,6.230247213,14.06816584
12.25287213,8.738312533,8.138024972,8.188474118,5.873914065,12.5802131
11.10409969,8.703804623,7.694865571,8.078273051,7.182089394,11.66415325
11.85552598,5.86489184,7.020996601,7.101855945,3.937306723,13.30387962
13.33330748,7.828259005,7.249958196,9.765138713,4.304788456,13.81869437
12.80398156,8.386633357,7.373011281,8.76535274,5.857851644,13.99372717
12.13223485,8.773651561,8.092543099,9.201519676,5.64346661,13.42501473
12.17091698,8.80882778,6.682220727,9.435546715,4.022740646,14.25651731
11.27346029,8.19888159,9.302489963,8.44636418,6.905998253,13.71831689
17.8077594,8.339711515,8.405201042,9.170414833,6.759182471,13.48411447
12.33241332,8.011036561,7.745656175,9.794234706,4.851189342,12.67432552
12.4686776,8.953999963,8.222359735,8.259542732,5.346531462,13.8346369
12.8990122,9.072262863,8.371173308,9.009573639,4.44743373,13.70103358
12.62364397,9.121854656,7.072686793,9.89976505,3.704573216,13.53046457
12.64015651,8.555184608,8.481887,10.32222911,4.100060959,13.18018039
12.00129091,8.57868705,8.025447452,8.553138521,5.561393351,13.59247001
11.5200435,8.156405213,8.562262652,8.763872303,6.522135806,13.30904287
12.93018554,8.151539215,7.466912564,8.766444763,4.874565841,12.65394667
11.87753978,8.740343067,8.337621902,8.413627929,6.132714608,13.62620335
11.90659248,6.974486866,8.316230839,8.177026294,3.666290765,12.95183606
11.18996993,8.635087948,7.738453733,8.767971876,3.790646943,14.01617804
11.94724009,8.758491404,8.231206298,8.573445348,6.795607222,13.83479097
12.57782695,8.647749455,7.519476643,9.357759597,3.954829096,13.02637569
9.042523415,9.174531508,7.557413154,10.16404683,0,3.388699282
11.50472664,9.015168031,8.699262887,8.857225559,4.647890091,13.24395029
12.03000149,9.185558602,9.049322006,9.373952655,6.148909707,9.205808397
11.86773468,8.641116798,8.148035698,8.173369329,5.530635745,13.87277106
12.02836855,9.032272241,7.936730386,8.249824549,2.902710348,13.77130732
11.48086233,7.780860586,8.172775514,7.705924007,4.982409536,13.44444134
11.51027739,8.789227794,9.002023988,9.004632004,5.054266768,14.00006948
11.71526968,8.720388264,7.950043172,9.243645282,5.825101253,12.12607829
12.06100183,9.755713142,8.222574679,8.77614611,5.468863488,14.05927314
11.69136073,9.260319521,8.163470051,8.468686351,4.420091594,12.51622767
11.95013156,7.634350766,8.687012383,7.800069626,4.155781609,12.79186109
11.98541042,8.976547513,7.882072583,9.654803021,4.937240801,13.47528838
11.99013684,7.966945475,7.851948257,8.5983559,5.548233153,13.80267841
12.19427072,9.471803629,8.521149699,8.21063141,6.296227953,13.12688352
12.19075463,8.33679217,8.239330251,8.7764406,6.723602246,13.59596648
12.02649958,8.2122668,7.452355745,9.538255293,2.480937189,13.99546929
12.14015977,7.342432963,7.86578337,9.399157205,4.347297141,14.07937456
11.689985,8.665662441,8.387176401,8.047937483,6.424008361,12.78997945
13.00139746,6.044103365,5.923189598,8.881775338,2.931928843,12.75325499
12.06448081,7.952256094,6.453957037,8.768478459,3.598258,13.47349436
12.40926485,3.939630927,7.214717386,6.100620293,4.788649173,11.94080098
11.81745822,9.344568441,7.663589413,8.320635853,6.267224903,12.40072809
11.37025344,8.584495052,8.09814265,8.019487318,5.846563518,11.88404659
11.62645442,8.649085487,8.342205372,8.041039782,5.030080008,14.12715072
11.67054176,6.919418747,7.67099042,7.834614522,6.347304229,13.41229626
12.86367929,6.022103665,7.719877509,8.376254781,6.34619635,12.95058845
12.87378669,8.409395604,8.805207638,8.457422333,5.609444716,13.17020528
13.40363782,6.816170879,7.063496471,7.951595371,4.595754272,12.63976635
12.16758571,9.058029617,8.499386304,8.240855239,5.571852738,13.0148752
12.30961041,6.575003667,7.021599651,7.989506335,3.383220433,11.36597505
11.88609344,7.602947488,8.71094381,8.788771505,6.119291844,13.52668511
15.09387023,7.767180045,7.513884685,8.435696927,5.578069212,12.88495549
11.45867441,9.277080688,7.391014975,8.468445248,6.189306677,12.21343587
12.46472383,9.242221872,7.817204329,8.991974991,4.881542269,13.61196625
12.10542731,8.116332004,8.017167524,9.039866578,4.280451579,13.78506491
11.97283569,7.977734415,8.593406437,8.406048501,4.476083526,13.11490425
11.47495423,5.905199247,7.385999547,7.80549948,3.875789891,14.40174839
11.33073283,8.056545596,7.892142662,7.763202406,4.330264382,13.45987057
12.09715932,7.682555039,7.566735256,9.046138234,5.399321509,12.65992489
11.52817184,8.785653205,8.463835357,8.402348274,7.540097809,12.27748147
11.94115925,8.764583023,8.540338469,7.681925681,6.555256327,12.5566206
11.63693977,8.742889093,7.872118316,9.166335091,4.15196432,13.92703186
11.97163954,8.706647618,7.915628454,8.27306591,4.624340739,13.4339308
11.52198682,8.831451348,7.938944406,9.352909886,6.791804957,13.18351803
12.1482512,9.245536782,8.194254039,8.625287295,5.573341198,13.70641612
13.21895818,7.636070635,7.184892199,9.000325978,4.140745941,12.38891253
12.50792577,8.073511786,7.928649241,9.0609342,4.74067396,13.53486787
11.42050503,8.84053971,8.800231124,7.67241827,4.900673631,14.22203788
12.10728738,6.958430915,8.220118547,9.079609314,4.859840376,12.95937739
11.55034523,7.898539114,8.551946224,9.756877682,5.877700085,12.45146871
11.42533446,8.4985744,8.461042275,8.83323293,3.900325847,13.35355271
15.16103348,8.741277199,7.69683959,8.72281436,4.959394598,12.44167273
11.72335958,8.696741892,7.689156562,8.52760094,5.03385024,13.82569719
12.35052636,8.849295937,8.555619857,8.825044314,5.055633846,12.59502933
17.31534909,8.555585732,8.932291536,8.701664795,5.054175583,13.30455441
12.35723355,8.841363064,7.778781545,9.008298634,2.429428502,14.4474281
11.83997557,8.321028384,8.204053637,8.807573564,5.060834251,12.93943204
12.05849093,5.535536671,6.591884331,7.850086799,4.187007567,13.14810828
12.45797761,7.572660062,7.851948257,9.681513921,4.852133709,14.59278896
12.33042061,8.920963155,7.092820555,10.00018371,6.288856848,12.24608004
10.81755387,8.534128542,6.670000426,8.310567342,5.170325694,13.61201168
11.77063792,0,3.970503979,6.216862239,3.970503979,10.98464382
12.1014211,8.64658823,7.535787034,8.934841107,4.907597343,13.95522572
11.71775241,8.80180793,8.249289837,8.843362389,4.241954558,14.24261589
11.75902156,7.185332372,8.402049764,8.6289314,5.234972587,13.51523036
10.9325119,8.567256417,8.86720027,8.957798257,2.708474201,13.20534425
11.74879912,8.564020271,7.324122027,8.733455014,4.561240587,14.04561463
12.76958514,5.965862765,7.175005553,8.790880835,5.136216,12.77475282
11.65581736,3.696639319,7.321697245,8.647027712,3.492673596,13.26373691
12.45738152,8.301798878,7.508697231,8.444336185,7.012977558,12.13136839
11.90670901,9.425431819,8.246178135,9.460073721,5.421761895,13.46067696
12.56548439,4.78906669,7.458391848,8.524934607,4.391320932,12.25388482
12.3921072,7.975397467,7.562269904,8.459185684,5.797287998,13.97937186
12.57339616,6.5457244,6.742283833,7.997093651,3.713827763,13.21754009
11.77908633,9.378503603,9.197023256,8.325545172,5.955977637,13.21904166
12.05428922,8.638917697,7.274692169,9.418538686,4.479088251,13.8091313
12.16232256,5.709414715,7.789199097,7.436173502,5.225884152,11.74251858
11.6458718,7.179118874,7.263086064,7.261570305,4.199256161,12.38388583
11.98815398,9.328739096,7.738570601,8.954882591,4.190978253,13.56955431
10.27438887,8.465357842,10.07945092,7.988434181,6.37004219,12.75080317
11.95826175,7.891846877,7.285353203,7.998806465,6.81206946,12.66121748
13.0551116,6.510460369,7.012723974,8.546245487,5.418264173,11.35151029
11.86821688,6.498019443,7.628827535,8.43451189,4.545128199,13.0203311
12.49428667,8.430590124,7.708949362,10.22390734,6.02674474,9.558586021
13.59369646,5.299530413,7.530120696,8.453249642,6.64371047,12.35462505
13.37080055,6.183911241,7.55377442,8.547575529,4.307931195,12.10350007
12.81367397,7.671370516,9.509913924,8.962337901,6.108158509,13.18731409
12.58334013,9.167329072,7.945807244,9.408897153,3.303883012,12.68902918
12.83696274,8.307724502,8.785605149,9.679563844,4.463210461,12.151782
12.13021033,8.05759161,7.635501927,9.697462824,4.059260087,13.64740877
11.84421745,8.716143474,7.314624933,8.555092939,6.27872078,8.854254406
11.95331112,9.118583209,6.849932976,9.009512337,3.953796023,12.96523837
12.56218052,9.677646008,7.983862921,9.130971013,4.745791281,14.13015942
11.80925068,6.803330378,7.033226958,8.997315557,3.341900378,14.02260945
11.77363599,8.750213555,8.652601218,8.529689006,6.798764685,12.24687124
13.07898555,8.403632015,7.054776861,9.606930743,4.046482329,14.55662727
12.87218405,8.643661413,7.942998841,8.406939243,3.291633025,13.87652238
11.62392812,8.442689758,8.286439939,8.730938109,5.672425342,13.47156895
12.1411904,8.432416625,8.788699412,8.608812569,4.442100849,13.77193583
12.50124981,8.863643639,7.981739082,8.600762964,4.177048725,14.66054725
13.39630012,8.530112501,8.156524542,9.15810775,4.649408524,13.91366784
12.17679963,8.770781154,8.05046034,9.374257905,5.3123929,14.38617188
11.27717847,7.78849192,7.987671605,8.238695638,4.252377811,13.15456206
13.47089305,7.038203498,7.436634929,9.321166421,4.794722569,12.85767095
12.33375884,8.141026547,7.011616395,8.160720058,5.65729701,13.6658387
12.39196562,8.665861019,9.12586287,9.987540443,5.062285802,12.57462711
12.68206292,8.338252804,8.029990594,8.720034552,4.312367485,13.30436477
12.06372821,8.856075317,6.705953027,8.751067657,5.603860718,13.63969411
11.69477949,7.980023015,7.052948372,9.443349508,3.710437277,13.209175
13.32824455,6.490627888,7.095137473,8.690749863,3.575360742,12.00225389
12.00648521,9.307269355,7.900575825,9.170176449,5.529218136,13.60022313
11.86784119,8.132621052,7.115075912,9.287063367,3.96728852,12.39854143
12.55608633,7.813904296,7.52443515,9.298532542,4.917426981,13.37495908
12.05560999,7.19383284,8.343462455,8.589588232,2.845490051,13.92292037
12.0758213,8.964387946,8.374433111,9.148510647,5.072144398,13.77949683
12.27222619,7.425603648,9.292255134,8.314810251,4.312367485,13.60789743
13.10862609,6.187225368,7.758927398,9.338482357,6.059796534,11.835252
12.1993627,8.445557462,8.329651501,8.354578222,5.160399892,13.84936803
12.01986691,8.680292003,7.559891742,8.701701871,4.558518675,13.12679959
11.68062729,8.278560037,8.082760593,9.004347452,4.812169603,13.54086388
11.87502948,8.075707502,8.435055552,7.926866436,4.936063102,12.91198181
16.66275164,5.850004262,7.624658763,6.488084347,6.42660358,11.47427866
11.66990736,9.700161556,9.361995955,9.110027787,7.068872843,7.11783943
11.95277968,9.300169037,8.296760231,8.35809775,3.993402642,13.00134274
12.03572177,8.304817199,8.406754762,8.132550625,4.089879452,14.30330876
11.93153245,7.464700936,7.710330507,7.635078877,5.507683659,13.73720157
11.94793509,8.580766955,8.17922091,8.809328261,4.981843522,13.17630002
12.50391081,7.384911504,7.430736881,8.084667565,2.410151121,13.73949894
11.95143258,7.204910504,8.668674413,8.934041108,5.115341265,13.52988592
13.05577247,8.266494225,7.719961678,9.875823519,3.139633205,14.72265719
12.65391148,8.117859165,8.377709855,9.02171207,5.495893392,13.39944262
11.50622843,7.676495209,7.797389171,7.084760563,4.435141836,13.47220041
13.11408678,6.68138039,7.628758288,9.463377235,5.79776008,11.4333108
11.38799538,8.497950408,8.263169652,10.15653175,5.701496383,13.29554327
12.4638812,8.934007777,8.410211342,10.10058219,5.506760603,14.46355759
12.86471671,7.925919333,7.563348067,8.242995421,5.673514024,12.85695294
12.84814346,8.964202224,7.703421211,9.142934136,3.742426666,12.94478249
16.3054009,8.670338644,8.853429645,8.362842876,5.302373891,13.31133716
12.90752979,8.379609266,7.868286729,9.481330833,1.09044698,14.209528
11.81834494,8.070209517,8.181600032,8.149334572,3.775092694,13.31074036
13.13285432,8.334849354,8.015497569,9.23565096,3.944202526,13.49160077
12.60909706,8.768822477,6.364810527,8.178158387,4.441184658,13.28900392
11.98408132,8.784077288,8.270408401,8.801227219,5.996226027,12.72378428
